GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment-service,org.qred.payment.validator,CotractValidator,59,4,6,0,12,1,6,1,3,1
payment-service,org.qred.payment.validator,ClientValidator,12,4,2,0,4,1,3,1,2,1
payment-service,org.qred.payment.validator,PaymentValidator,51,4,4,0,11,1,4,1,2,1
payment-service,org.qred.payment.exception.handler,CustomExceptionHandler,111,0,2,0,17,0,9,0,8,0
payment-service,org.qred.payment.service.impl,ClientServiceImpl,0,68,0,0,0,10,0,5,0,5
payment-service,org.qred.payment.service.impl,PaymentServiceImpl,7,100,0,0,0,18,1,6,1,6
payment-service,org.qred.payment.service.impl,ContractServiceImpl,5,68,0,0,1,10,1,5,1,5
payment-service,org.qred.payment.entity,Contract,4,32,0,0,1,11,1,7,1,7
payment-service,org.qred.payment.entity,Payment,14,49,0,0,5,16,4,10,4,10
payment-service,org.qred.payment.entity,Client,4,22,0,0,1,8,1,5,1,5
payment-service,org.qred.payment.exception,Http400BadRequest,26,0,2,0,10,0,5,0,4,0
payment-service,org.qred.payment.exception,Http404NotFoundException,9,0,0,0,4,0,2,0,2,0
payment-service,org.qred.payment.exception,ErrorResponse,63,0,0,0,13,0,11,0,11,0
payment-service,org.qred.payment.config,ValidationConfig,7,0,0,0,2,0,2,0,2,0
payment-service,org.qred.payment.api.v1,ClientController,0,53,0,0,0,14,0,5,0,5
payment-service,org.qred.payment.api.v1,PaymentController,9,120,1,5,3,29,1,8,0,6
payment-service,org.qred.payment.api.v1,ContractController,0,52,0,0,0,14,0,5,0,5
payment-service,org.qred.payment,PaymentApplication,8,0,0,0,3,0,2,0,2,0
payment-service,org.qred.payment.domain,ContractDTO,0,12,0,0,0,1,0,1,0,1
payment-service,org.qred.payment.domain,PaymentDTO,0,15,0,0,0,1,0,1,0,1
payment-service,org.qred.payment.domain,ContractCreateDTO,0,9,0,0,0,1,0,1,0,1
payment-service,org.qred.payment.domain,ClientCreateDTO,0,6,0,0,0,1,0,1,0,1
payment-service,org.qred.payment.domain,ClientDTO,0,9,0,0,0,1,0,1,0,1
payment-service,org.qred.payment.mapper,PaymentMapper,6,28,0,0,0,8,1,6,1,6
payment-service,org.qred.payment.mapper,ContractMapperImpl,34,62,7,5,12,21,7,4,1,4
payment-service,org.qred.payment.mapper,PaymentMapperImpl,10,80,5,5,5,25,5,4,0,4
payment-service,org.qred.payment.mapper,ClientMapperImpl,22,35,4,2,8,12,4,3,1,3
payment-service,org.qred.payment.mapper,ContractMapper,6,16,0,0,0,5,1,3,1,3
